EkspertizAI — Ekspertiz İstasyon Veri Giriş Tablosu,,,,,,,,,,,,,,,,,,,
"⚠ Sarı alanlar zorunludur. | Google Rating: Google Maps puanı (1-5) | Sponsor Seviyesi: 0=Ücretsiz, 1=Basic (500₺/ay), 2=Premium (1000₺/ay)",,,,,,,,,,,,,,,,,,,
Ad *,Franchise,İl *,İlçe *,Adres,Telefon *,Telefon 2,E-posta,Website,Google Maps URL,Google Rating,Enlem,Boylam,"Aktif mi?
(EVET/HAYIR)","Sponsorlu mu?
(EVET/HAYIR)","Sponsor
Seviyesi
(0/1/2)","Sponsor
Başlangıç
(GG.AA.YYYY)","Sponsor
Bitiş
(GG.AA.YYYY)",Notlar,"Google
Place ID"
PİLOT GARAGE OSMANİYE OTO EKSPERTİZ - Osmaniye En İyi Oto Ekspertiz,Pilot Garage,Osmaniye,Osmaniye Merkez,"Yıldırım Beyazıt, Musa Şahin Blv. No:183, 80010 Osmaniye Merkez/Osmaniye, Türkiye",0552 807 81 80,,,,https://maps.google.com/?cid=7782917096478622301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Garantili Arabam Osmaniye Oto Ekspertiz,Garantili Arabam,Osmaniye,Merkez,"Şirinevler Mah. 11038 Sok. A blok No: 16 A İç Kapı No:1, Şirinevler, 80010 Merkez/Osmaniye Merkez/Osmaniye, Türkiye",0545 849 01 80,,,,https://maps.google.com/?cid=15081313189742517011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Osmaniye Experix Oto Ekspertiz,EFT Oto Ekspertiz,Osmaniye,Osmaniye Merkez,"Şirinevler, 110021 sk No.3, 80010 Osmaniye Merkez/Osmaniye, Türkiye",0541 284 14 24,,,,https://maps.google.com/?cid=6791062148268780402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Osmaniye Merkez Optima Oto Ekspertiz,EFT Oto Ekspertiz,Osmaniye,Merkez,"Yıldırım Beyazıt mh. Musa şahin blv. Fidanlık karşısı Valilik ve Avm civarı, Yıldırım Beyazıt, 80010 Merkez/Osmaniye Merkez/Osmaniye, Türkiye",0532 056 45 80,,,,https://maps.google.com/?cid=7695680649875160500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Osmaniye Araç Ekspertiz Merkezi,EFT Oto Ekspertiz,Osmaniye,Osmaniye Merkez,"Şirinevler, yeni otogalericiler sitesi a blok no:7, 80020 Osmaniye Merkez/Osmaniye, Türkiye",(0328) 812 01 80,,,,https://maps.google.com/?cid=2218291523688504043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Auto King Araç Servis ve Ekspertiz Merkezi,Auto King Oto Ekspertiz,Osmaniye,Osmaniye Merkez,"İstiklal, Atatürk Cd. NO:40 H, 03300 Osmaniye Merkez/Afyonkarahisar, Türkiye",0552 601 03 03,,,,https://maps.google.com/?cid=11601334732668107032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,,,EVET,HAYIR,0,,,,
Serpauto Kurumsal- Kadirli Oto Ekspertiz,RS Oto Ekspertiz,Osmaniye,Kadirli,"Serpauto kadirli oto eksperiz, Şehit Kansu Küçükateş, Kamil Kara Blv. NO:86/C, 80750 Kadirli/Osmaniye, Türkiye",0536 829 50 60,,,,https://maps.google.com/?cid=16219717555624496697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
YAMANLAR OTO EKSPERTİZ BAKIRKÖY,Yamanlar Oto Ekspertiz,Osmaniye,Bakırköy,"Osmaniye, Cami Sk. C BLOK NO: 62 K, 34146 Bakırköy/İstanbul, Türkiye",0552 050 07 24,,,,https://maps.google.com/?cid=13871402605928078446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Osmaniye Oto EkspertizMerkezi,Computest,Osmaniye,Osmaniye Merkez,"Şirinevler, Toprakkale Cd. No:2, 80010 Osmaniye Merkez/Osmaniye, Türkiye",0541 488 82 90,,,,https://maps.google.com/?cid=16826687758106883889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Otorapor Osmaniye Düziçi Oto Ekspertiz,OtoEksper,Osmaniye,Düziçi,"Uzunbanı mahallesi, Muhsin Yazıcıoğlu Cd. no:134, 80600 Düziçi/Osmaniye, Türkiye",0534 890 75 51,,,,https://maps.google.com/?cid=8890606107951972741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Osmaniye Kavlakoğlu Oto Ekspertiz Merkezi,OtoEksper,Osmaniye,Merkezilçe,"Şirinevler, 11040. Sk. No:7, 80010 Merkezilçe/Osmaniye, Türkiye",0541 488 82 90,,,,https://maps.google.com/?cid=2566988508947871177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
PİLOT GARAGE OTO EKSPERTİZ DÜZİÇİ,OtoEksper,Osmaniye,Düziçi,"Çamiçi mahallesi, Muhsin Yazıcıoğlu Cd. 19/1, 80600 Düziçi/Osmaniye, Türkiye",0530 415 80 08,,,,https://maps.google.com/?cid=7864722686881843766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Güven Araç Ekspertiz Merkezi,OtoEksper,Osmaniye,Osmaniye Merkez,"Yıldırım Beyazıt, Musa Şahin Blv., 80010 Osmaniye Merkez/Osmaniye, Türkiye",,,,,https://maps.google.com/?cid=2121481409704444004&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,6",,,EVET,HAYIR,0,,,,
EKSPERTİZNET Osmaniye Oto Ekspertiz Firmaları,OtoEksper,Osmaniye,Osmaniye Merkez,"İstiklal, Musa Şahin Blv. No: 190 D:C, 80010 Osmaniye Merkez/Osmaniye, Türkiye",,,,,https://maps.google.com/?cid=7785007969508909175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Volkswagen Özel Ekspertiz Osmaniye,Pro-G Oto Ekspertiz,Osmaniye,Osmaniye Merkez,"Yıldırım Beyazıt, Musa Şahin Blv., 80010 Osmaniye Merkez/Osmaniye, Türkiye",0532 056 45 80,,,,https://maps.google.com/?cid=9333189566233454376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Otorapor Düzce Akınlar Oto Ekspertiz,Otorapor,Düzce,Düzce,"Akınlar, 2595 Sk. F blok No:7, 81100 Düzce, Türkiye",(0380) 514 95 95,,,,https://maps.google.com/?cid=1186247656414043056&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
Dynobil Düzce Oto Ekspertiz,Dynobil,Düzce,Düzce,"Aziziye Mahallesi 1050. Bulvar Caddesi No:1 Z:1, Aziziye, Hal Kavşağı, 81100 Düzce, Türkiye",0533 155 51 80,,,,https://maps.google.com/?cid=2421718859199427257&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Pilot Garage Düzce Oto Ekspertiz TSE Belgeli Oto Ekspertiz Düzce,Pilot Garage,Düzce,Düzce,"Yeni Sanayi, Onur Sk. No: 34/B, 81010 Düzce, Türkiye",0552 285 75 56,,,,https://maps.google.com/?cid=2901476534233008913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Pilot Garage Düzce Merkez Oto Ekspertiz,Pilot Garage,Düzce,Düzce,"Uzun Mustafa, Kuyumcuzade Blv. No: 24/D, 81010 Düzce, Türkiye",0543 919 64 11,,,,https://maps.google.com/?cid=1923884834073028420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Umran Oto Ekspertiz - Merkez | Düzce,Ümran Oto Ekspertiz,Düzce,Düzce,"Mergiç, 1050. Blv. No:18, 81100, 81010 Düzce, Türkiye",0539 657 00 81,,,,https://maps.google.com/?cid=11269779385573455555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Onay Oto Ekspertiz DÜZCE,EFT Oto Ekspertiz,Düzce,Düzce,"Aziziye Mahallesi Yeni Sanayi Sitesi, Onay Oto Ekspertiz, Taşköprü, 1078. Sk. No: 4, 81100 Düzce, Türkiye",(0380) 537 54 34,,,,https://maps.google.com/?cid=18160060995886653097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Düzce Sağlam Oto Ekspertiz,EFT Oto Ekspertiz,Düzce,Düzce,"as taksi kavşağı, Uzun Mustafa, Kuyumcuzade Blv. 66/A, 81600 Düzce, Türkiye",(0380) 523 28 29,,,,https://maps.google.com/?cid=3921658450143940579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Düzce Oto Ekspertiz 360,RS Oto Ekspertiz,Düzce,Düzce,"Aziziye, 1012 Sokak No : 2 / B, 81100 Düzce, Türkiye",0561 616 81 00,,,,https://maps.google.com/?cid=4971436927586451422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dynomark Auto Expertz Düzce,Dynomark,Düzce,Düzce,"Dynomark Ekspertiz, Kültür, 792. Sk. No:61 81600, 81600 Düzce, Türkiye",0535 373 23 28,,,,https://maps.google.com/?cid=14350638699000153956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
DÜZCE GARANTİ OTO EKSPERTİZ,Hospitacar,Düzce,Düzce,"Kültür, D100 Yanyolu No:379, 81600 Düzce, Türkiye",(0380) 524 00 11,,,,https://maps.google.com/?cid=13227118166207303555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
Çözüm Oto Ekspertiz,Experix,Düzce,Düzce,"DSİ YANI, Yeni, D100 YNA YOLU NO:484, 81100 Düzce, Türkiye",0535 767 66 50,,,,https://maps.google.com/?cid=18284941421401448816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
DETAY OTO EKSPERTİZ DÜZCE ( GÜVENİN ADRESİ ),OtoEksper,Düzce,Düzce,"D-100 KARAYOLU ÜZERİ DSİ YANI 420/A YENİ MAH, Merkez Mahallesi, 81100 Düzce, Türkiye",(0380) 514 63 12,,,,https://maps.google.com/?cid=10768118178586999076&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz Düzce Akçakoca,Code Oto Ekspertiz,Düzce,Akçakoca,"Alpet Yanı, Ayazlı, Ereğli Cd No: 142, 81650 Akçakoca/Düzce, Türkiye",0555 630 67 60,,,,https://maps.google.com/?cid=12574088789727323466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Oto Test Servisi,Oto Test,Düzce,Düzce,"Yeni, 1156. Sk., 81100 Düzce, Türkiye",0530 520 32 27,,,,https://maps.google.com/?cid=5010070502830948958&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
ARABAM.COM TRİNKSAT OTO EKSPERTİZ,Arabam.com Oto Ekspertiz,İstanbul,Bahçelievler,"Yenibosna Merkez, 34100 Bahçelievler/İstanbul, Türkiye",0543 193 85 20,,,,https://maps.google.com/?cid=3032405740938042214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Keçiören/Ankara,Arabam.com Oto Ekspertiz,Ankara,Keçiören,"Yükseltepe, 2107. Cadde 3/I, 06220 Keçiören/Ankara, Türkiye",,,,,https://maps.google.com/?cid=11781150797952940742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz Otonomi,Arabam.com Oto Ekspertiz,Ankara,Akyurt,"Saracalar, Özal Bulvarı g2/6, 06750 Akyurt/Ankara, Türkiye",0532 389 33 75,,,,https://maps.google.com/?cid=17440752651154066067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Kepez/Antalya,Arabam.com Oto Ekspertiz,Antalya,Kepez,"75 nci yıl caddesi, Yeşilyurt, 4316. Sk. no:63/B, 07220 Kepez/Antalya, Türkiye",0850 759 9000,,,,https://maps.google.com/?cid=10287500940817534818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,3",,,EVET,HAYIR,0,,,,
Arabam.com Oto Ekspertiz & Trink Sat Alım Noktası İlkadım/Samsun,Arabam.com Oto Ekspertiz,Samsun,İlkadım,"Kılıçdede, Cumhuriyet Cd. No:169, 55330 İlkadım/Samsun, Türkiye",0850 759 9000,,,,https://maps.google.com/?cid=211514386555627021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,3",,,EVET,HAYIR,0,,,,
Otorapor Yenimahalle Ostim Ankara Oto Ekspertiz,Otorapor,Ankara,Yenimahalle,"Ostim OSB, Bağdat Cd. No:344, 06374 Yenimahalle/Ankara, Türkiye",0542 477 04 06,,,,https://maps.google.com/?cid=2184886984902398395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,2",,,EVET,HAYIR,0,,,,
Otorapor Ankara Çankaya Çayyolu Oto Ekspertiz,Otorapor,Ankara,Çankaya,"Çayyolu, 2683. Sk. 11/A, 06810 Çankaya/Ankara, Türkiye",0543 966 14 15,,,,https://maps.google.com/?cid=14275444720550657815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Otorapor Ankara Otokent Oto Ekspertiz,Otorapor,Ankara,Yenimahalle,"İvedik OSB, Melih Gökçek Blv. 6/373, 06378 Yenimahalle/Ankara, Türkiye",0541 501 06 75,,,,https://maps.google.com/?cid=10695694486892773561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Otorapor Ankara Yenimahalle İvedik Otokent Oto Ekspertiz,Otorapor,Ankara,Yenimahalle,"İvedik OSB, Melih Gökçek Blv. no:10 D:E, 06378 Yenimahalle/Ankara, Türkiye",0549 501 16 86,,,,https://maps.google.com/?cid=16407809448783421128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Expertiz Mehmet,Otorapor,Kayseri,Kocasinan,"Fatih Mah. Kocasinan Bul. Kardelen Apt. No:132/1-A, Sahabiye, 38010 Kocasinan/Kayseri, Türkiye",0507 587 99 90,,,,https://maps.google.com/?cid=4547972372558441403&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Otorapor Muğla Merkez Oto Ekspertiz,Otorapor,Muğla,Merkez,"Muslihittin Mah. M.Zekai Özbek Sok. Özen İş Merkezi No:4, Muslihittin, 48000 Merkez/Muğla, Türkiye",(0252) 212 12 07,,,,https://maps.google.com/?cid=15297939831917830156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,7",,,EVET,HAYIR,0,,,,
Dynobil İstanbul Automall Oto Ekspertiz,Dynobil,İstanbul,Bağcılar,"100. Yıl, Veysel Karani Cd. Automall Galericiler Sitesi A blok No. 69, 34200 Bağcılar/İstanbul, Türkiye",0506 316 37 38,,,,https://maps.google.com/?cid=17349229419221521319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,2",,,EVET,HAYIR,0,,,,
Dynobil Güngören Oto Ekspertiz,Dynobil,İstanbul,Güngören,"Haznedar, Bağcılar Cd. No:24, 34160 Güngören/İstanbul, Türkiye",0544 650 30 61,,,,https://maps.google.com/?cid=15982195850077623560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
İstoç (Bağcılar) DYNOBİL Oto Ekspertiz,Dynobil,İstanbul,Bağcılar,"Göztepe, 2.CAD İSTOÇ GALERİCİLER TİCARET MERKEZİ A BLOK NO:43, 34200 Bağcılar/İstanbul, Türkiye",0533 509 33 71,,,,https://maps.google.com/?cid=4850930163512493038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Dynobil Altındağ Kazimkarabekir oto Test Merkezi,Dynobil,Ankara,Altındağ,"Zübeyde Hanım, Kazım Karabekir Cd. No:97 D:5, 06060 Altındağ/Ankara, Türkiye",0543 168 07 08,,,,https://maps.google.com/?cid=2426708500764874445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,2",,,EVET,HAYIR,0,,,,
DYNOBİL Çayyolu Oto Ekspertiz,Dynobil,Ankara,Çankaya,"Çayyolu Mah. 2683. Cadde Suit Çayyolu 1/29, Çayyolu, 06000 Çankaya/Ankara, Türkiye",0533 343 27 77,,,,https://maps.google.com/?cid=10740802523433150545&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Dynobil Balgat Oto ekspertiz,Dynobil,Ankara,Çankaya,"Oğuzlar, 1377. Sk. 14/a, 06520 Çankaya/Ankara, Türkiye",0532 271 22 17,,,,https://maps.google.com/?cid=4940267583034874527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
DYNOBİL Yenimahalle Erciyes Oto Ekspertiz,Dynobil,Ankara,Yenimahalle,"Macun, 196. Cd., 06105 Yenimahalle/Ankara, Türkiye",0553 385 35 94,,,,https://maps.google.com/?cid=9038701062858759175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,1",,,EVET,HAYIR,0,,,,
Dynobil İvedik Oto Ekspertiz,Dynobil,Ankara,Yenimahalle,"MELİH GÖKÇEK BULV, YAPI PARK TİCARET MERKEZİ, İvedikköy, 1551. Sk. NO:35/4, 06378 Yenimahalle/Ankara, Türkiye",0539 843 99 64,,,,https://maps.google.com/?cid=14346193670457715423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Dynobil Concept,Dynobil,Ankara,Çankaya,"Oğuzlar mahallesi 1377.sokak no:14/A-B-C-D, Oğuzlar, 06020 Çankaya/Ankara, Türkiye",0532 100 74 84,,,,https://maps.google.com/?cid=6259245699246690146&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,3",,,EVET,HAYIR,0,,,,
Dynobil Çankaya Yıldız Turan Güneş Oto Ekspertiz,Dynobil,Ankara,Çankaya,"Sancak, Turan Güneş Blv. No: 47/a, 06550 Çankaya/Ankara, Türkiye",0507 515 28 77,,,,https://maps.google.com/?cid=16423974054718573955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Dynobil Törekent Oto Ekspertiz,Dynobil,Ankara,Sincan,"Gökçek Mah. Ayaş Yolu 26. Km No:402/F Total Benzinlik İçi (Sincan O.S.B Karşısı, Gökçek, 06949 Sincan/Ankara, Türkiye",0549 479 90 94,,,,https://maps.google.com/?cid=17256545031074483122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,6",,,EVET,HAYIR,0,,,,
Güvenilir Ekspertiz Noktası G.E.N,Dynobil,Ankara,Keçiören,"Şehit Ömer Halis Demir Bulvarı, Kavacık Subayevleri, Altınpark karşısı 47/C, 06135 Keçiören/Ankara, Türkiye",0507 219 03 03,,,,https://maps.google.com/?cid=16631782617292054643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Dynobil Oto Ekspertiz Vega Otonomi,Dynobil,Ankara,Sincan,"Plevne, Çatalca Sokağı No:14/11, 06934 Sincan/Ankara, Türkiye",0541 179 96 06,,,,https://maps.google.com/?cid=16577361765324667020&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Dynobil Osmangazi Oto Ekspertiz,Dynobil,Bursa,Osmangazi̇,"Demirtaşpaşa, İnönü Cad. No:104-108 D D:E, 16220 Osmangazi̇/Bursa, Türkiye",,,,,https://maps.google.com/?cid=15900290240563661588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Bursa Oto Ekspertiz DYNOPLUS,Dynobil,Bursa,Osmangazi̇,"Fatih MAh İstanbul Cd. No:311, Fatih, İstanbul Cd no: 309, 16200 Osmangazi̇/Bursa, Türkiye",0553 948 66 16,,,,https://maps.google.com/?cid=3426819144469283544&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
DYNOBUR OTO EKSPERTİZ TSE-HYB BELGELİ ARAÇ KONTROL MERKEZİ,Dynobil,Bursa,Osmangazi̇,"Demirtaşpaşa Mah, Ankara Yolu Cad, Tüze İş Mrk, Demirtaşpaşa, 16220 Osmangazi̇/Bursa, Türkiye",0533 647 86 10,,,,https://maps.google.com/?cid=13752856192590385319&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,,EVET,HAYIR,0,,,,
Dynobulls Nilüfer Oto Ekspertiz,Dynobil,Bursa,Ni̇lüfer,"Odunluk, eker iş merkezi no:19A/C, 16110 Ni̇lüfer/Bursa, Türkiye",0555 991 77 00,,,,https://maps.google.com/?cid=12190916785958588976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
DynoPlus Premium 4x4 Oto Ekspertiz,Dynobil,Bursa,Osmangazi̇,"Panayır, İstanbul Cd No: 405, 16250 Osmangazi̇/Bursa, Türkiye",0553 948 66 16,,,,https://maps.google.com/?cid=4478914871011622471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
DYNOBİL Yunuseli Oto Ekspertiz,Dynobil,Bursa,Osmangazi̇,"Yunuseli, Recep Tayyip Erdoğan Blv I Blok 5/1, 16010 Osmangazi̇/Bursa, Türkiye",0554 120 45 32,,,,https://maps.google.com/?cid=14759352990352731399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Dynobil | Muratpaşa Oto Ekspertiz,Dynobil,Antalya,Merkez,"Cumhuriyet, Fatih Caddesi No:85/ Muratpaşa, Cumhuriyet, 07000 Merkez/Antalya, Türkiye",0544 840 90 92,,,,https://maps.google.com/?cid=3323761972769956699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,3",,,EVET,HAYIR,0,,,,
Pilot Garage 4x4 Ekspertiz & Servis,Pilot Garage,Antalya,Muratpaşa,"Işık Plaza, Yeşilova, Aspendos Blv. No:140/5, 07200 Muratpaşa/Antalya, Türkiye",0533 815 65 10,,,,https://maps.google.com/?cid=17878278158720240887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
